iter	Passed	Remaining
638	1268	716
639	1269	714
640	1271	712
641	1272	709
642	1274	707
643	1277	706
644	1278	703
645	1280	701
646	1281	699
647	1283	697
648	1284	694
649	1286	692
650	1288	690
651	1290	688
652	1292	686
653	1293	684
654	1295	682
655	1296	680
656	1298	677
657	1299	675
658	1300	673
659	1303	671
660	1304	669
661	1306	666
662	1307	664
663	1308	662
664	1310	660
665	1311	657
666	1312	655
667	1314	653
668	1316	651
669	1318	649
670	1320	647
671	1322	645
672	1323	643
673	1324	640
674	1326	638
675	1329	637
676	1330	635
677	1332	632
678	1333	630
679	1334	628
680	1336	625
681	1337	623
682	1338	621
683	1339	618
684	1341	616
685	1343	615
686	1345	612
687	1347	611
688	1349	609
689	1351	607
690	1354	605
691	1360	605
692	1364	604
693	1366	602
694	1368	600
695	1370	598
696	1372	596
697	1376	595
698	1378	593
699	1379	591
700	1381	589
701	1384	587
702	1386	585
703	1387	583
704	1389	581
705	1390	579
706	1391	576
707	1393	574
708	1395	572
709	1396	570
710	1398	568
711	1400	566
712	1401	564
713	1403	562
714	1404	559
715	1406	557
716	1408	555
717	1410	553
718	1411	551
719	1413	549
720	1414	547
721	1416	545
722	1417	543
723	1419	541
724	1422	539
725	1423	537
726	1425	535
727	1426	532
728	1427	530
729	1429	528
730	1431	526
731	1433	524
732	1434	522
733	1436	520
734	1438	518
735	1439	516
736	1440	514
737	1442	512
738	1443	509
739	1445	507
740	1447	505
741	1449	503
742	1450	501
743	1452	499
744	1453	497
745	1455	495
746	1456	493
747	1457	491
748	1458	488
749	1460	486
750	1462	484
751	1464	482
752	1465	480
753	1467	478
754	1468	476
755	1469	474
756	1470	472
757	1472	469
758	1473	467
759	1475	465
760	1476	463
761	1478	461
762	1479	459
763	1481	457
764	1482	455
765	1484	453
766	1485	451
767	1487	449
768	1488	447
769	1490	445
770	1491	443
771	1494	441
772	1496	439
773	1497	437
774	1498	435
775	1499	432
776	1501	430
777	1502	428
778	1504	426
779	1506	424
780	1507	422
781	1509	420
782	1511	418
783	1512	416
784	1514	414
785	1516	412
786	1518	410
787	1519	408
788	1521	406
789	1522	404
790	1524	402
791	1525	400
792	1527	398
793	1529	396
794	1531	394
795	1533	392
796	1534	390
797	1536	388
798	1537	386
799	1539	384
800	1541	382
801	1543	380
802	1544	378
803	1546	377
804	1547	374
805	1549	372
806	1550	370
807	1551	368
808	1553	366
809	1555	364
810	1557	362
811	1558	360
812	1560	358
813	1561	356
814	1562	354
815	1564	352
816	1565	350
817	1567	348
818	1569	346
819	1570	344
820	1572	342
821	1574	340
822	1575	338
823	1577	336
824	1579	334
825	1580	333
826	1582	331
827	1584	329
828	1585	327
829	1586	325
830	1588	322
831	1589	320
832	1590	318
833	1591	316
834	1593	314
835	1594	312
836	1596	310
837	1597	308
838	1599	306
839	1600	304
840	1601	302
841	1602	300
842	1604	298
843	1605	296
844	1606	294
845	1608	292
846	1610	290
847	1611	288
848	1612	286
849	1614	284
850	1615	282
851	1616	280
852	1617	278
853	1619	276
854	1620	274
855	1622	272
856	1623	270
857	1625	268
858	1626	267
859	1628	265
860	1629	263
861	1630	261
862	1631	259
863	1633	257
864	1634	255
865	1636	253
866	1638	251
867	1640	249
868	1642	247
869	1643	245
870	1644	243
871	1645	241
872	1647	239
873	1649	237
874	1651	235
875	1652	233
876	1654	232
877	1655	230
878	1657	228
879	1658	226
880	1660	224
881	1663	222
882	1665	220
883	1666	218
884	1668	216
885	1669	214
886	1671	212
887	1672	211
888	1674	209
889	1677	207
890	1679	205
891	1682	203
892	1684	201
893	1686	199
894	1687	198
895	1689	196
896	1691	194
897	1693	192
898	1695	190
899	1697	188
900	1699	186
901	1701	184
902	1702	182
903	1704	181
904	1706	179
905	1707	177
906	1709	175
907	1711	173
908	1712	171
909	1714	169
910	1716	167
911	1718	165
912	1720	163
913	1722	162
914	1723	160
915	1725	158
916	1727	156
917	1728	154
918	1730	152
919	1732	150
920	1734	148
921	1735	146
922	1737	144
923	1739	143
924	1741	141
925	1743	139
926	1744	137
927	1746	135
928	1748	133
929	1750	131
930	1752	129
931	1754	128
932	1756	126
933	1758	124
934	1760	122
935	1762	120
936	1764	118
937	1765	116
938	1767	114
939	1769	112
940	1770	111
941	1772	109
942	1774	107
943	1776	105
944	1778	103
945	1779	101
946	1781	99
947	1782	97
948	1784	95
949	1785	93
950	1787	92
951	1789	90
952	1791	88
953	1793	86
954	1794	84
955	1796	82
956	1798	80
957	1799	78
958	1802	77
959	1804	75
960	1805	73
961	1807	71
962	1809	69
963	1810	67
964	1812	65
965	1813	63
966	1815	61
967	1817	60
968	1819	58
969	1821	56
970	1823	54
971	1824	52
972	1826	50
973	1827	48
974	1829	46
975	1831	45
976	1833	43
977	1836	41
978	1838	39
979	1840	37
980	1842	35
981	1844	33
982	1845	31
983	1847	30
984	1849	28
985	1851	26
986	1853	24
987	1855	22
988	1857	20
989	1859	18
990	1861	16
991	1863	15
992	1865	13
993	1866	11
994	1868	9
995	1869	7
996	1871	5
997	1873	3
998	1874	1
999	1876	0
